Geo Point;Geo Shape;id_ref_ZdA;GARES_ID;NOM_GARE;NOM_IV;MODE_;TERMINUS;IDREFLIGA;RES_COM;LIGNE_CODE;INDICE_LIG;X;Y
-5.9830134394455765, -1.361303873039208;"{""coordinates"": [-1.361303873039208, -5.983013439445577], ""type"": ""Point""}";47940;524;MASSY-VERRIERES;Massy-Verrieres;RER;;A01840;RER C;RER C-167;C;292.32072513;119.17684998
-5.983001273658836, -1.361317556414694;"{""coordinates"": [-1.361317556414694, -5.983001273658836], ""type"": ""Point""}";47940;523;MASSY-VERRIERES;Massy-Verrieres;RER;;A01857;RER B;RER B-167;B;290.23531488;121.2457466
-5.980563337539506, -1.3600426766231402;"{""coordinates"": [-1.36004267662314, -5.980563337539506], ""type"": ""Point""}";43071;37;AULNAY-SOUS-BOIS;Aulnay-sous-Bois;RER;;A01857;RER B;RER B-405;B;516.13430988;500.21562963
-5.980438661077711, -1.361591086180771;"{""coordinates"": [-1.361591086180771, -5.980438661077711], ""type"": ""Point""}";47920;264;ERMONT-HALTE;Ermont-Halte;TRAIN;;A01849;TRAIN H;TRAIN H-234;H;269.07828021;533.89227643
-5.980352601553075, -1.3615989713497045;"{""coordinates"": [-1.361598971349705, -5.980352601553075], ""type"": ""Point""}";48964;823;ST-LEU-LA-FORET;St-leu-la-Foret;TRAIN;;A01849;TRAIN H;TRAIN H-236;H;268.57638897;547.73837738
-5.98026995694667, -1.3616035268067026;"{""coordinates"": [-1.361603526806703, -5.98026995694667], ""type"": ""Point""}";43206;847;TAVERNY;Taverny;TRAIN;;A01849;TRAIN H;TRAIN H-238;H;268.57780936;561.0081698
-5.9802337190061925, -1.3616055243134828;"{""coordinates"": [-1.361605524313483, -5.980233719006192], ""type"": ""Point""}";43090;68;BESSANCOURT;Bessancourt;TRAIN;;A01849;TRAIN H;TRAIN H-239;H;268.57843218;566.82672478
-5.980059476668821, -1.3616150676227854;"{""coordinates"": [-1.361615067622785, -5.980059476668821], ""type"": ""Point""}";47585;536;MERIEL;Meriel;TRAIN;;A01849;TRAIN H;TRAIN H-275;H;268.59126928;594.80331283
-5.980139609384203, -1.3620404951847398;"{""coordinates"": [-1.36204049518474, -5.980139609384203], ""type"": ""Point""}";47595;678;PONT-PETIT;Pont-Petit;TRAIN;;A01849;TRAIN H;TRAIN H-233;H;199.70021563;585.74621756
-5.983415786783852, -1.3597068600426534;"{""coordinates"": [-1.359706860042653, -5.983415786783852], ""type"": ""Point""}";47654;83;BOIS-LE-ROI;Bois-le-Roi;TRAIN;;A01845;TRAIN R;TRAIN R-58;R;544.71797839;40.61881058
-5.983295474545529, -1.3594478462886785;"{""coordinates"": [-1.359447846288679, -5.983295474545529], ""type"": ""Point""}";47145;347;HERICY;Hericy;TRAIN;;A01845;TRAIN R;TRAIN R-56;R;587.29538193;57.58458951
-5.982930927418761, -1.3611626124851206;"{""coordinates"": [-1.361162612485121, -5.982930927418761], ""type"": ""Point""}";46035;179;CHEMIN D'ANTONY;Chemin d'Antony;RER;;A01840;RER C;RER C-303;C;315.69117392;131.13402591
-5.982886252142874, -1.3603058851874918;"{""coordinates"": [-1.360305885187492, -5.982886252142874], ""type"": ""Point""}";46304;902;VILLENEUVE-TRIAGE;Villeneuve-Triage;RER;;A01842;RER D;RER D-423;D;453.39619721;132.51271217
-5.983100190212627, -1.3602941002542908;"{""coordinates"": [-1.360294100254291, -5.983100190212627], ""type"": ""Point""}";47684;556;MONTGERON-CROSNE;Montgeron-Crosne;RER;;A01842;RER D;RER D-177;D;453.39185689;96.34271469
-5.983253191654246, -1.3601448256029967;"{""coordinates"": [-1.360144825602997, -5.983253191654246], ""type"": ""Point""}";45771;196;COMBS-LA-VILLE-QUINCY;Combs-la-Ville-Quincy;RER;;A01842;RER D;RER D-43;D;475.96262191;70.52741781
-5.983280446523142, -1.3599923295308598;"{""coordinates"": [-1.35999232953086, -5.983280446523142], ""type"": ""Point""}";47665;787;SAVIGNY-LE-TEMPLE-NANDY;Savigny-le-Temple-Nandy;RER;;A01842;RER D;RER D-50;D;500.16235337;64.81339573
-5.9835006877504, -1.3602338548400288;"{""coordinates"": [-1.360233854840029, -5.9835006877504], ""type"": ""Point""}";45820;433;LE PLESSIS-CHENET;Le Plessis-Chenet;RER;;A01842;RER D;RER D-209;D;459.50360882;31.69595946
-5.983496292454306, -1.3601543212351894;"{""coordinates"": [-1.360154321235189, -5.983496292454306], ""type"": ""Point""}";45824;214;COUDRAY-MONTCEAUX;Coudray-Montceaux;RER;;A01842;RER D;RER D-210;D;472.2894786;31.69494239
