Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0750136R;E.P.PR SAINT-SAUVEUR 14 rue des Petits Carreaux;ECOLE PRIMAIRE PRIVEE;SAINT-SAUVEUR;Privé;14 rue des Petits Carreaux;;;75002;PARIS;Paris  2e  Arrondissement;652122.6;6863183.1;EPSG:2154;48.86689675806401;2.347349517640619;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75102;Paris;Ile-de-France;Paris;48.86689675806401, 2.347349517640619;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-10
0750142X;E.P.PR SAINT JEAN GABRIEL 6 rue du Cloître Saint Merri;ECOLE PRIMAIRE PRIVEE;SAINT JEAN GABRIEL;Privé;6 rue du Cloître Saint Merri;;;75004;PARIS;Paris  4e  Arrondissement;652437.1;6862297.5;EPSG:2154;48.85895598620295;2.351735602994831;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75104;Paris;Ile-de-France;Paris;48.85895598620295, 2.351735602994831;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-10
0750149E;E.P.PR SAINTE-CATHERINE 13 bis rue des Bernardins;ECOLE PRIMAIRE PRIVEE;SAINTE-CATHERINE;Privé;13 bis rue des Bernardins;;;75005;PARIS;Paris  5e  Arrondissement;652363.7;6861329.3;EPSG:2154;48.85024361643063;2.35084371821255;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75105;Paris;Ile-de-France;Paris;48.85024361643063, 2.35084371821255;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-10
0750151G;E.P.PR SOEUR ROSALIE 32 rue Geoffroy Saint Hilaire;ECOLE PRIMAIRE PRIVEE;SOEUR ROSALIE;Privé;32 rue Geoffroy Saint Hilaire;;;75005;PARIS;Paris  5e  Arrondissement;652750.5;6860276.4;EPSG:2154;48.84080336861821;2.3562315168482466;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75105;Paris;Ile-de-France;Paris;48.84080336861821, 2.3562315168482466;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-10
0750210W;E.P.PR LA TRINITE 16 rue de Milan;ECOLE PRIMAIRE PRIVEE;LA TRINITE;Privé;16 rue de Milan;;;75009;PARIS;Paris  9e  Arrondissement;650700.9;6864525.9;EPSG:2154;48.87886498046824;2.3278144298304113;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75109;Paris;Ile-de-France;Paris;48.87886498046824, 2.3278144298304113;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-15
0750222J;E.E.PR CHARLES PEGUY 102 rue Amelot;ECOLE ELEMENTAIRE PRIVEE;CHARLES PEGUY;Privé;102 rue Amelot;;;75011;PARIS;Paris 11e  Arrondissement;653595.3;6862670.2;EPSG:2154;48.86239210554732;2.3674800587521103;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75111;Paris;Ile-de-France;Paris;48.86239210554732, 2.3674800587521103;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-15
0750229S;E.P.PR FENELON SAINTE-MARIE 7 rue de la Bienfaisance;ECOLE PRIMAIRE PRIVEE;FENELON SAINTE-MARIE;Privé;7 rue de la Bienfaisance;;;75008;PARIS;Paris  8e  Arrondissement;650152.8;6864289.7;EPSG:2154;48.876698711206174;2.3203692571615733;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75108;Paris;Ile-de-France;Paris;48.876698711206174, 2.3203692571615733;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-13
0750234X;E.P.PR EUGENE NAPOLEON ST P. FOURIER 252 ter rue du Faubourg Saint-Antoine;ECOLE PRIMAIRE PRIVEE;EUGENE NAPOLEON ST P. FOURIER;Privé;252 ter rue du Faubourg Saint-Antoine;;;75012;PARIS;Paris 12e  Arrondissement;655347.4;6861163.9;EPSG:2154;48.84896986170152;2.391519331824771;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75112;Paris;Ile-de-France;Paris;48.84896986170152, 2.391519331824771;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-15
0750239C;E.P.PR SAINT-ELOI 99 ter rue de Reuilly;ECOLE PRIMAIRE PRIVEE;SAINT-ELOI;Privé;99 ter rue de Reuilly;;;75012;PARIS;Paris 12e  Arrondissement;655320.6;6860564.1;EPSG:2154;48.843573987354915;2.3912171572486067;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75112;Paris;Ile-de-France;Paris;48.843573987354915, 2.3912171572486067;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-15
0750243G;E.P.PR SAINT-ESPRIT 56 rue des Meuniers;ECOLE PRIMAIRE PRIVEE;SAINT-ESPRIT;Privé;56 rue des Meuniers;;;75012;PARIS;Paris 12e  Arrondissement;655605.6;6859661.7;EPSG:2154;48.835478326957826;2.3951944719222027;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75112;Paris;Ile-de-France;Paris;48.835478326957826, 2.3951944719222027;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-15
0750294M;E.P.PR SAINT-LOUIS DE GONZAGUE 15 rue Louis David;ECOLE PRIMAIRE PRIVEE;SAINT-LOUIS DE GONZAGUE;Privé;15 rue Louis David;;;75016;PARIS;Paris 16e  Arrondissement;647240.2;6862613.9;EPSG:2154;48.86139665674854;2.280868265397184;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75116;Paris;Ile-de-France;Paris;48.86139665674854, 2.280868265397184;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-16
0750295N;E.P.PR L'ASSOMPTION 6 rue de Lubeck;ECOLE PRIMAIRE PRIVEE;L'ASSOMPTION;Privé;6 rue de Lubeck;;;75016;PARIS;Paris 16e  Arrondissement;648229.2;6863214.1;EPSG:2154;48.86687437031992;2.2942747896366904;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75116;Paris;Ile-de-France;Paris;48.86687437031992, 2.2942747896366904;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-16
0750325W;E.P.PR FENELON SAINTE-MARIE 17 bis rue de Tocqueville;ECOLE PRIMAIRE PRIVEE;FENELON SAINTE-MARIE;Privé;17 bis rue de Tocqueville;;;75017;PARIS;Paris 17e  Arrondissement;649606.8;6865004.0;EPSG:2154;48.88307968895869;2.3128405635600404;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75117;Paris;Ile-de-France;Paris;48.88307968895869, 2.3128405635600404;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-17
0750341N;E.P.PR LE SACRE-COEUR 7 rue Jean Cottin;ECOLE PRIMAIRE PRIVEE;LE SACRE-COEUR;Privé;7 rue Jean Cottin;;;75018;PARIS;Paris 18e  Arrondissement;653186.0;6866160.9;EPSG:2154;48.893753450169584;2.361516611576617;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75118;Paris;Ile-de-France;Paris;48.893753450169584, 2.361516611576617;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-17
0750352A;E.P.PR ST JEAN-BAPTISTE DE BELLEVILLE 31 rue Clavel;ECOLE PRIMAIRE PRIVEE;ST JEAN-BAPTISTE DE BELLEVILLE;Privé;31 rue Clavel;;;75019;PARIS;Paris 19e  Arrondissement;654784.1;6864184.9;EPSG:2154;48.87609809001237;2.383522161781925;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75119;Paris;Ile-de-France;Paris;48.87609809001237, 2.383522161781925;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-20
0750358G;E.P.PR LA PROVIDENCE 9 passage de la Providence;ECOLE PRIMAIRE PRIVEE;LA PROVIDENCE;Privé;9 passage de la Providence;;;75020;PARIS;Paris 20e  Arrondissement;656250.4;6861722.0;EPSG:2154;48.85405079750267;2.4037666092310563;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75120;Paris;Ile-de-France;Paris;48.85405079750267, 2.4037666092310563;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-20
0750445B;Collège Alberto Giacometti;COLLEGE;ALBERTO GIACOMETTI;Public;7 rue du Cange;;;75014;PARIS;Paris 14e  Arrondissement;649716.0;6859574.9;EPSG:2154;48.83426512643556;2.314971764582598;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;075;11;01;75114;Paris;Ile-de-France;Paris;48.83426512643556, 2.314971764582598;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750507U;Collège Georges Brassens;COLLEGE;GEORGES BRASSENS;Public;4 rue Erik Satie;;;75019;PARIS;Paris 19e  Arrondissement;655001.8;6865098.6;EPSG:2154;48.884330009442614;2.3863933809472635;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;075;11;01;75119;Paris;Ile-de-France;Paris;48.884330009442614, 2.3863933809472635;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750523L;Section d'enseignement professionnelle du lycee polyvalent Boulle;SECTION ENSEIGNT PROFESSIONNEL;LPO BOULLE;Public;9 rue Pierre Bourdan;;;75012;PARIS;Paris 12e  Arrondissement;655344.7;6860917.2;EPSG:2154;48.84675109836026;2.3915084460464024;Parfaite;Numéro de rue;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;1;OUVERT;075;11;01;75112;Paris;Ile-de-France;Paris;48.84675109836026, 2.3915084460464024;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750575T;Collège Sonia Delaunay;COLLEGE;SONIA DELAUNAY;Public;14 rue Euryale Dehaynin;;;75019;PARIS;Paris 19e  Arrondissement;654397.2;6865281.7;EPSG:2154;48.88593403764282;2.3781295808104668;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;075;11;01;75119;Paris;Ile-de-France;Paris;48.88593403764282, 2.3781295808104668;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750598T;E.P.PR NOTRE DAME DE LA CROIX 13 rue du Retrait;ECOLE PRIMAIRE PRIVEE;NOTRE DAME DE LA CROIX;Privé;13 rue du Retrait;;;75020;PARIS;Paris 20e  Arrondissement;655615.1;6863301.1;EPSG:2154;48.86820804554957;2.3949439771377024;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75120;Paris;Ile-de-France;Paris;48.86820804554957, 2.3949439771377024;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1997-09-01
0750599U;E.E.PR SAINT-GERMAIN DE CHARONNE 3 rue des Prairies;ECOLE ELEMENTAIRE PRIVEE;SAINT-GERMAIN DE CHARONNE;Privé;3 rue des Prairies;;;75020;PARIS;Paris 20e  Arrondissement;656328.0;6862504.2;EPSG:2154;48.861090344397674;2.404743767392534;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75120;Paris;Ile-de-France;Paris;48.861090344397674, 2.404743767392534;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-20
0750601W;E.P.PR LUCIEN DE HIRSCH 68 avenue Secrétan;ECOLE PRIMAIRE PRIVEE;LUCIEN DE HIRSCH;Privé;68 avenue Secrétan;;;75019;PARIS;Paris 19e  Arrondissement;654248.9;6864602.9;EPSG:2154;48.87981926276675;2.3761804736768783;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75119;Paris;Ile-de-France;Paris;48.87981926276675, 2.3761804736768783;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-20
0750604Z;E.M.PU ROCHECHOUART 22 rue de Rochechouart;ECOLE MATERNELLE PUBLIQUE;ROCHECHOUART;Public;22 rue de Rochechouart;;;75009;PARIS;Paris  9e  Arrondissement;651956.8;6864392.9;EPSG:2154;48.877763868246525;2.344952678653653;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;075;11;01;75109;Paris;Ile-de-France;Paris;48.877763868246525, 2.344952678653653;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-03-18
0750657G;Lycée général Montaigne;LYCEE GENERAL;MONTAIGNE;Public;17 rue Auguste Comte;;;75006;PARIS;Paris  6e  Arrondissement;651183.1;6860671.2;EPSG:2154;48.844236978189386;2.3348315716616432;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;075;11;01;75106;Paris;Ile-de-France;Paris;48.844236978189386, 2.3348315716616432;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750662M;Lycée général Victor Duruy;LYCEE GENERAL;VICTOR DURUY;Public;33 boulevard des Invalides;;;75007;PARIS;Paris  7e  Arrondissement;649724.3;6861580.3;EPSG:2154;48.85230029234186;2.3148477839827657;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;075;11;01;75107;Paris;Ile-de-France;Paris;48.85230029234186, 2.3148477839827657;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750670W;Lycée général et technologique Lamartine;LYCEE GENERAL ET TECHNOLOGIQUE;LAMARTINE;Public;121 rue du Faubourg Poissonière;;;75009;PARIS;Paris  9e  Arrondissement;652260.7;6864459.0;EPSG:2154;48.8783808876197;2.349088600466694;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;075;11;01;75109;Paris;Ile-de-France;Paris;48.8783808876197, 2.349088600466694;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750673Z;Lycée général Colbert;LYCEE GENERAL;COLBERT;Public;27 rue de Chateau Landon;;;75010;PARIS;Paris 10e  Arrondissement;653315.3;6864931.3;EPSG:2154;48.88270546564568;2.3634152185070483;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;075;11;01;75110;Paris;Ile-de-France;Paris;48.88270546564568, 2.3634152185070483;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750676C;Lycée polyvalent Caroline Dorian;LYCEE POLYVALENT;CAROLINE DORIAN;Public;74 avenue Philippe Auguste;;;75011;PARIS;Paris 11e  Arrondissement;655417.6;6861767.4;EPSG:2154;48.85440198778214;2.392412630364061;Parfaite;Numéro de rue;306;LYCEE POLYVALENT;1;OUVERT;075;11;01;75111;Paris;Ile-de-France;Paris;48.85440198778214, 2.392412630364061;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750683K;Lycée général Claude Monet;LYCEE GENERAL;CLAUDE MONET;Public;1 rue du Docteur Magnan;;;75013;PARIS;Paris 13e  Arrondissement;653185.6;6858786.2;EPSG:2154;48.82743361046444;2.3623234040857297;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;075;11;01;75113;Paris;Ile-de-France;Paris;48.82743361046444, 2.3623234040857297;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750685M;Lycée général et technologique Pierre-Gilles de Gennes;LYCEE GENERAL ET TECHNOLOGIQUE;PIERRE-GILLES DE GENNES-ENCPB;Public;11 rue Pirandello;;;75013;PARIS;Paris 13e  Arrondissement;652761.1;6859813.3;EPSG:2154;48.83663946212697;2.3564273591414673;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;075;11;01;75113;Paris;Ile-de-France;Paris;48.83663946212697, 2.3564273591414673;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750693W;Lycée général et technologie Buffon;LYCEE GENERAL ET TECHNOLOGIQUE;BUFFON;Public;16 boulevard Pasteur;;;75015;PARIS;Paris 15e  Arrondissement;649486.1;6860598.3;EPSG:2154;48.843450595841645;2.3117184295922955;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;075;11;01;75115;Paris;Ile-de-France;Paris;48.843450595841645, 2.3117184295922955;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750697A;Lycée polyvalent Bâtiment-Saint-Lambert;LYCEE POLYVALENT;BATIMENT-SAINT-LAMBERT;Public;7 rue Clavel;;;75019;PARIS;Paris 19e  Arrondissement;654883.8;6864019.3;EPSG:2154;48.874615877255216;2.3848990133957697;Parfaite;Numéro de rue;306;LYCEE POLYVALENT;1;OUVERT;075;11;01;75119;Paris;Ile-de-France;Paris;48.874615877255216, 2.3848990133957697;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750711R;Lycée général et technologique Henri Bergson;LYCEE GENERAL ET TECHNOLOGIQUE;HENRI BERGSON;Public;27 rue Edouard Pailleron;;;75019;PARIS;Paris 19e  Arrondissement;654379.0;6864746.6;EPSG:2154;48.88112074883683;2.377938887612686;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;075;11;01;75119;Paris;Ile-de-France;Paris;48.88112074883683, 2.377938887612686;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750712S;Lycée polyvalent Diderot;LYCEE POLYVALENT;DIDEROT;Public;61 rue David d'Angers;;;75019;PARIS;Paris 19e  Arrondissement;655694.9;6864779.9;EPSG:2154;48.88151208852299;2.39587754134031;Parfaite;Numéro de rue;306;LYCEE POLYVALENT;1;OUVERT;075;11;01;75119;Paris;Ile-de-France;Paris;48.88151208852299, 2.39587754134031;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750770E;Lycée professionnel Abbé Grégoire;LYCEE PROFESSIONNEL;ABBE GREGOIRE;Public;70 bis rue de Turbigo;;;75003;PARIS;Paris  3e  Arrondissement;653048.0;6863102.5;EPSG:2154;48.86624005627622;2.3599726427505554;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;075;11;01;75103;Paris;Ile-de-France;Paris;48.86624005627622, 2.3599726427505554;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750784V;Lycée professionnel Métiers de l'Ameublement;LYCEE PROFESSIONNEL;METIERS DE L'AMEUBLEMENT;Public;9 rue Pierre Bourdan;;;75012;PARIS;Paris 12e  Arrondissement;655344.7;6860917.2;EPSG:2154;48.84675109836026;2.3915084460464024;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;075;11;01;75112;Paris;Ile-de-France;Paris;48.84675109836026, 2.3915084460464024;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750796H;Lycée Professionnel Octave Feuilet - Lycée des métiers de la mode;LP LYCEE DES METIERS;OCTAVE FEUILLET;Public;9 rue Octave Feuillet;;;75016;PARIS;Paris 16e  Arrondissement;646622.7;6862605.1;EPSG:2154;48.86126664977621;2.2724531358357214;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;075;11;01;75116;Paris;Ile-de-France;Paris;48.86126664977621, 2.2724531358357214;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750800M;Lycée professionnel Edmond Rostand;LYCEE PROFESSIONNEL;EDMOND ROSTAND;Public;15 rue de l'Evangile;;;75018;PARIS;Paris 18e  Arrondissement;653260.1;6866038.3;EPSG:2154;48.89265633917477;2.3625406958730264;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;075;11;01;75118;Paris;Ile-de-France;Paris;48.89265633917477, 2.3625406958730264;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750802P;Lycée professionnel Hector Guimard - Lycée des métiers du batiment, de l'artisanat et du patrimoine bâti;LP LYCEE DES METIERS;HECTOR GUIMARD;Public;19 rue Curial;;;75019;PARIS;Paris 19e  Arrondissement;654004.8;6866034.4;EPSG:2154;48.89267490133086;2.3726972336203542;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;075;11;01;75119;Paris;Ile-de-France;Paris;48.89267490133086, 2.3726972336203542;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750814C;E.E.PU AMPERE C 18 rue Ampère;ECOLE ELEMENTAIRE PUBLIQUE;AMPERE C;Public;18 rue Ampère;;;75017;PARIS;Paris 17e  Arrondissement;649030.1;6865258.1;EPSG:2154;48.88531932749269;2.304946613498441;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75117;Paris;Ile-de-France;Paris;48.88531932749269, 2.304946613498441;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750815D;E.E.A.PU ARAGO D 30 boulevard Arago;ECOLE ELEMENTAIRE APPLICATION PUBLIQUE;ARAGO D;Public;30 boulevard Arago;;;75013;PARIS;Paris 13e  Arrondissement;652101.9;6859703.1;EPSG:2154;48.835599770681675;2.3474593725120436;Parfaite;Numéro de rue;153;ECOLE ELEMENTAIRE D APPLICATION;1;OUVERT;075;11;01;75113;Paris;Ile-de-France;Paris;48.835599770681675, 2.3474593725120436;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750818G;E.E.PU ARGENTEUIL 11 rue d'Argenteuil;ECOLE ELEMENTAIRE PUBLIQUE;ARGENTEUIL;Public;11 rue d'Argenteuil;;;75001;PARIS;Paris  1er Arrondissement;651128.5;6862967.8;EPSG:2154;48.86488594644786;2.3338236385908697;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75101;Paris;Ile-de-France;Paris;48.86488594644786, 2.3338236385908697;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750819H;E.E.PU ARMAND CARREL 43 rue Armand Carrel;ECOLE ELEMENTAIRE PUBLIQUE;ARMAND CARREL;Public;43 rue Armand Carrel;;;75019;PARIS;Paris 19e  Arrondissement;654287.7;6864918.3;EPSG:2154;48.88265832472263;2.3766755453031494;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75119;Paris;Ile-de-France;Paris;48.88265832472263, 2.3766755453031494;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750822L;E.E.PU BAUCHES 15 rue des Bauches;ECOLE ELEMENTAIRE PUBLIQUE;BAUCHES;Public;15 rue des Bauches;;;75016;PARIS;Paris 16e  Arrondissement;646698.9;6862016.5;EPSG:2154;48.85597979009138;2.273565508947534;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75116;Paris;Ile-de-France;Paris;48.85597979009138, 2.273565508947534;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750841G;E.E.A.PU BRECHE AUX LOUPS 18 rue de la Brèche aux Loups;ECOLE ELEMENTAIRE APPLICATION PUBLIQUE;BRECHE AUX LOUPS;Public;18 rue de la Brèche aux Loups;;;75012;PARIS;Paris 12e  Arrondissement;655526.3;6859883.0;EPSG:2154;48.837463034158084;2.3940910397552484;Parfaite;Numéro de rue;153;ECOLE ELEMENTAIRE D APPLICATION;1;OUVERT;075;11;01;75112;Paris;Ile-de-France;Paris;48.837463034158084, 2.3940910397552484;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750843J;E.P.PU BRUXELLES J 32 rue de Bruxelles;ECOLE PRIMAIRE;BRUXELLES J;Public;32 rue de Bruxelles;;;75009;PARIS;Paris  9e  Arrondissement;650777.2;6864985.1;EPSG:2154;48.883000258547916;2.328801498697428;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75109;Paris;Ile-de-France;Paris;48.883000258547916, 2.328801498697428;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750847N;E.E.PU CHAMPIONNET 7 rue Championnet;ECOLE ELEMENTAIRE PUBLIQUE;CHAMPIONNET;Public;7 rue Championnet;;;75018;PARIS;Paris 18e  Arrondissement;652495.3;6866319.5;EPSG:2154;48.89512908144954;2.3520790134665726;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75118;Paris;Ile-de-France;Paris;48.89512908144954, 2.3520790134665726;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750853V;E.E.PU CHEMINETS 16 rue des Cheminets;ECOLE ELEMENTAIRE PUBLIQUE;CHEMINETS;Public;16 rue des Cheminets;;;75019;PARIS;Paris 19e  Arrondissement;655908.3;6865460.5;EPSG:2154;48.88764718123934;2.3987165791284433;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75119;Paris;Ile-de-France;Paris;48.88764718123934, 2.3987165791284433;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750855X;E.E.PU CHERNOVIZ 8 rue Chernoviz;ECOLE ELEMENTAIRE PUBLIQUE;CHERNOVIZ;Public;8 rue Chernoviz;;;75016;PARIS;Paris 16e  Arrondissement;647313.1;6862165.5;EPSG:2154;48.85737024523792;2.281917438452621;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75116;Paris;Ile-de-France;Paris;48.85737024523792, 2.281917438452621;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
