Geo Point;Geo Shape;dep;adresse;nomcom;insee;nom_carto;typo_niv3;objectid
48.7727440549, 2.26476148114;"{""coordinates"": [2.26476148114225, 48.77274405487067, 0.0], ""type"": ""Point""}";92;102 RUE DE CHATEAUBRIAND;CHATENAY-MALABRY;92019;Arboretum de la vallee-aux-loups;Espace de loisirs, espace récréatif;388
49.1333798279, 2.72181661417;"{""coordinates"": [2.721816614172966, 49.13337982792449, 0.0], ""type"": ""Point""}";60;RN 330;ERMENONVILLE;60213;Mer de Sable;Espace de loisirs, espace récréatif;402
48.7925435659, 1.98810044159;"{""coordinates"": [1.988100441587213, 48.792543565900715, 0.0], ""type"": ""Point""}";78;ROND POINT ERIC TABARLY, RD 912;TRAPPES-EN-YVELINES;78621;Ile de loisirs de St Quentin en Yvelines;Espace de loisirs, espace récréatif;407
48.8880409155, 2.43182055565;"{""coordinates"": [2.431820555645772, 48.888040915548736, 0.0], ""type"": ""Point""}";93;HOTEL DE VILLE, RUE DE Paris;ROMAINVILLE;93063;Ile de loisirs de la corniche des forts;Espace de loisirs, espace récréatif;409
48.3406846375, 2.69641977979;"{""coordinates"": [2.696419779793187, 48.34068463747661, 0.0], ""type"": ""Point""}";77;14 RUE DU MARÉCHAL FOCH;BOURRON-MARLOTTE;77048;Château de Bourron;Site et monument;411
49.0352460607, 1.57153782444;"{""coordinates"": [1.571537824441263, 49.035246060653215, 0.0], ""type"": ""Point""}";78;ESCALE DE BONNIÈRES-SUR-SEINE;BONNIÈRES-SUR-SEINE;78089;Escale de Bonnières-sur-seine;Haltes, escales ou ports fluviaux de plaisance;442
48.8514976735, 2.28001025398;"{""coordinates"": [2.28001025397547, 48.851497673539384, 0.0], ""type"": ""Point""}";75;ESCALE DE PASSY;Paris;75116;Escale maison de la radio - Passy;Haltes, escales ou ports fluviaux de plaisance;450
48.8484661334, 2.36219519106;"{""coordinates"": [2.36219519105939, 48.8484661333923, 0.0], ""type"": ""Point""}";75;ESCALE HENRI IV;Paris;75104;Escale Henri IV;Haltes, escales ou ports fluviaux de plaisance;456
48.9899634119, 2.11186709898;"{""coordinates"": [2.111867098983827, 48.98996341187407, 0.0], ""type"": ""Point""}";78;LA CROIX D'ACHÈRES;ACHÈRES;78005;Halte;Haltes, escales ou ports fluviaux de plaisance;475
48.9512928318, 2.93877005941;"{""coordinates"": [2.938770059406357, 48.951292831797005, 0.0], ""type"": ""Point""}";77;HALTE DE TRILPORT;TRILPORT;77475;Halte;Haltes, escales ou ports fluviaux de plaisance;482
48.94253717, 2.00924735121;"{""coordinates"": [2.00924735121297, 48.94253716996849, 0.0], ""type"": ""Point""}";78;AVENUE VANDERBILT;CARRIERES-SOUS-POISSY;78123;Nouvelle marina, port Saint-Louis;Haltes, escales ou ports fluviaux de plaisance;512
48.9904999871, 2.08663678776;"{""coordinates"": [2.086636787759949, 48.99049998708623, 0.0], ""type"": ""Point""}";78;PORT CONFLANS AMBIANCE YACHTING / PK RG;CONFLANS-SAINTE-HONORINE;78172;Port de Conflans;Haltes, escales ou ports fluviaux de plaisance;514
48.6912799524, 2.39161012888;"{""coordinates"": [2.391610128884009, 48.691279952396805, 0.0], ""type"": ""Point""}";91;RUE DU PORT AUX CERISES;DRAVEIL;91201;Port aux Cerises;Haltes, escales ou ports fluviaux de plaisance;522
48.5698832476, 2.48685884514;"{""coordinates"": [2.486858845139274, 48.56988324764854, 0.0], ""type"": ""Point""}";91;25 CHEMIN DES ILES;MORSANG-SUR-SEINE;91435;Port privé de Morsang-sur-Seine;Haltes, escales ou ports fluviaux de plaisance;523
48.8891666275, 2.16454301998;"{""coordinates"": [2.164543019982523, 48.88916662749519, 0.0], ""type"": ""Point""}";92;11 PLACE DES IMPRESSIONNISTES;RUEIL-MALMAISON;92063;Halte fluviale de Rueil;Haltes, escales ou ports fluviaux de plaisance;526
